Designator,Mid X,Mid Y,Layer,Rotation
D1,4.16,8,bottom,180
D2,4.31,-11.08,bottom,180
D3,4.105,-30.13,bottom,180
D4,-19.04,-10.95,bottom,180
D5,23.41,8.04,bottom,180
D6,23.15,-10.98,bottom,180
D7,23.15,-30.01,bottom,180
D8,-14.87,-29.98,bottom,180
D9,42.3,8,bottom,180
D10,42.24,-11.15,bottom,180
D11,42.18,-30.1,bottom,180
D12,-18.69,-49.14,bottom,180
D13,61.31,8.14,bottom,180
D14,57.49,-10.93,bottom,180
D15,61.31,-29.95,bottom,180
D16,4.33,-48.97,bottom,180
D17,78.44,8.18,bottom,180
D18,78.41,-10.86,bottom,180
D19,78.855,-29.94,bottom,180
D20,78.71,-49.06,bottom,180
