Ref,Val,Package,PosX,PosY,Rot,Side
"B1","BATT","denchibox",38.830000,20.130000,180.000000,top
"D1","D","Diode_SMD",4.770000,8.650000,0.000000,top
"D2","D","Diode_SMD",0.310000,-10.920000,0.000000,top
"D3","D","Diode_SMD",4.700000,-29.720000,0.000000,top
"D4","D","Diode_SMD",0.510000,-48.970000,0.000000,top
"D5","D","Diode_SMD",23.580000,8.520000,0.000000,top
"D6","D","Diode_SMD",23.700000,-10.420000,0.000000,top
"D7","D","Diode_SMD",23.800000,-29.570000,0.000000,top
"D8","D","Diode_SMD",23.730000,-48.670000,0.000000,top
"D9","D","Diode_SMD",42.820000,8.610000,0.000000,top
"D10","D","Diode_SMD",42.810000,-10.420000,0.000000,top
"D11","D","Diode_SMD",42.710000,-29.650000,0.000000,top
"D12","D","Diode_SMD",42.800000,-48.690000,0.000000,top
"D13","D","Diode_SMD",61.980000,8.480000,0.000000,top
"D14","D","Diode_SMD",61.900000,-10.490000,0.000000,top
"D15","D","Diode_SMD",61.850000,-29.620000,0.000000,top
"D16","D","Diode_SMD",61.770000,-48.600000,0.000000,top
"D17","D","Diode_SMD",81.005000,8.510000,0.000000,top
"D18","D","Diode_SMD",76.665000,-10.550000,0.000000,top
"D19","D","Diode_SMD",81.000000,-29.630000,0.000000,top
"D20","D","Diode_SMD",77.350000,-48.810000,0.000000,top
"D21","D","Diode_SMD",98.835000,-10.040000,0.000000,top
"D22","D","Diode_SMD",99.980000,-29.600000,0.000000,top
"D23","D","Diode_SMD",100.080000,-48.510000,0.000000,top
"SW1","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",0.000000,0.000000,0.000000,top
"SW2","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",0.000000,-19.050000,0.000000,top
"SW3","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",0.000000,-38.200000,0.000000,top
"SW4","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",0.000000,-57.150000,0.000000,top
"SW5","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",19.050000,0.000000,0.000000,top
"SW6","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",19.050000,-19.050000,0.000000,top
"SW7","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",19.050000,-38.200000,0.000000,top
"SW8","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",19.050000,-57.150000,0.000000,top
"SW9","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",38.100000,0.000000,0.000000,top
"SW10","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",38.100000,-19.050000,0.000000,top
"SW11","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",38.200000,-38.200000,0.000000,top
"SW12","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",38.100000,-57.150000,0.000000,top
"SW13","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",57.150000,0.000000,0.000000,top
"SW14","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",57.150000,-19.050000,0.000000,top
"SW15","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",57.150000,-38.200000,0.000000,top
"SW16","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",57.150000,-57.150000,0.000000,top
"SW17","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",76.200000,0.000000,0.000000,top
"SW18","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",76.200000,-19.050000,0.000000,top
"SW19","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",76.200000,-38.200000,0.000000,top
"SW20","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",76.200000,-57.150000,0.000000,top
"SW21","RotaryEncoder_Switch","RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm_CircularMountingHoles_m.ki_ryoumen",95.520000,-19.200000,0.000000,top
"SW22","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",95.250000,-38.100000,0.000000,top
"SW23","SW_PUSH","CherryMX_MidHeight_Choc_v2_Hotswap_katagawa",95.250000,-57.150000,0.000000,top
"SW24","SW_SPDT","TGSW_MSK-12D19",104.890000,0.604000,-90.000000,top
