Designator,Mid X,Mid Y,Layer,Rotation
D1,4.77,8.65,bottom,180
D2,0.31,-10.92,bottom,180
D3,4.7,-29.72,bottom,180
D4,0.51,-48.97,bottom,180
D5,23.58,8.52,bottom,180
D6,23.7,-10.42,bottom,180
D7,23.8,-29.57,bottom,180
D8,23.73,-48.67,bottom,180
D9,42.82,8.61,bottom,180
D10,42.81,-10.42,bottom,180
D11,42.71,-29.65,bottom,180
D12,42.8,-48.69,bottom,180
D13,61.98,8.48,bottom,180
D14,61.9,-10.49,bottom,180
D15,61.85,-29.62,bottom,180
D16,61.77,-48.6,bottom,180
D17,81.005,8.51,bottom,180
D18,76.665,-10.55,bottom,180
D19,81,-29.63,bottom,180
D20,77.35,-48.81,bottom,180
D21,98.835,-10.04,bottom,180
D22,99.98,-29.6,bottom,180
D23,100.08,-48.51,bottom,180
